3824,2047.75,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,1,1024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3858,2047.75,2047.75,0.00,24.30,0.74,0,0.00,0.00,0.00,0.00,0.00,0.00,1,1023.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3896,2047.75,2047.75,0.00,24.20,0.25,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1023.97,93.01,-0.00,76.67,0.00,8.94,-0.47,24.82,-41.27,107.04, 0.02,-0.05,-0.08,
3932,2047.75,2047.75,0.00,24.20,0.25,0,0.00,0.00,0.00,1.00,0.71,1.00,-32641,1023.97,90.00,-0.00,76.95,0.00,9.41,0.00,24.91,-41.64,107.45, 0.07, -0.0,-0.05,
3965,2047.75,2047.75,0.00,24.30,-0.66,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1024.08,90.00,-0.00,76.95,0.00,9.41,0.00,24.91,-41.64,107.45, 0.07, -0.0,-0.05,
4003,2047.75,2047.75,0.00,24.30,0.25,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1023.97,90.00,-0.00,76.98,0.00,8.94,0.00,24.91,-41.55,107.76, 0.06,-0.07,-0.02,
4025,2047.75,2047.75,0.00,24.30,0.25,0,0.00,0.00,0.00,1.00,0.71,0.71,-15234,1023.97,90.00,-0.00,76.98,0.00,9.41,0.00,24.91,-41.55,107.76,0.14,-0.02, 0.01,
4058,2047.75,2047.75,0.00,24.30,-0.16,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1024.02,90.00,-0.00,76.98,0.00,9.41,0.00,24.91,-41.55,107.76,0.14,-0.02, 0.01,
4096,2047.75,2047.75,0.00,24.30, 0.08,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1023.99,90.00,-0.00,76.95,0.00,9.41,0.00,24.91,-41.36,107.45,0.13,0.10,-0.11,
4133,2047.75,2047.75,0.00,24.30,-0.66,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1024.08,92.60,2.60,77.57,-0.47,10.36,-0.47,25.55,-41.36,108.27,0.26,0.37,-0.19,
4176,2047.75,2047.75,0.00,24.30,-0.16,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1024.02,92.86,2.86,77.67,-0.47,9.41,-0.47,25.55,-41.36,108.27,0.41,0.19, 0.05,
4214,2047.75,2047.75,0.00,24.30,-0.91,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1024.11,92.73,-0.00,76.67,0.00,9.89,-0.47,25.45,-41.27,109.49,0.41, 0.05,0.12,
4251,2047.75,2047.75,0.00,24.30,-0.66,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1024.08,99.46,-3.14,74.21,0.47,8.47,-1.41,25.45,-41.27,109.49,0.36, -0.0, 0.04,
4292,2047.75,2047.75,0.00,24.30,-0.41,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1024.05,102.53,3.10,77.58,-0.47,8.47,-1.88,25.27,-41.00,110.41,0.14,-0.03,-0.17,
4330,2047.75,2047.75,0.00,24.30,0.25,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1023.97,98.97,5.94,79.23,-0.94,8.94,-1.41,25.73,-41.36,110.71,-0.11,0.28,-0.27,
4367,2047.75,2047.75,0.00,24.30,-0.16,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1024.02,98.97,5.94,79.23,-0.94,8.94,-1.41,25.73,-41.36,110.71,-0.20,  0.0,-0.17,
4405,2047.75,2047.75,0.00,24.30,-0.16,0,0.00,0.00,0.00,1.00,0.71,1.00,1,1024.02,92.86,-0.00,76.45,0.00,9.41,-0.47,26.09,-41.00,110.41,0.10,-0.01,0.31,
4447,2047.75,2047.75,0.00,24.30,-0.66,0,0.00,0.00,0.00,1.00,0.71,0.71,1,1024.08,92.86,-2.86,75.31,0.47,9.41,-0.47,26.09,-41.00,110.41,0.48, 0.03,0.60,
4464,2047.75,2047.75,0.00,24.30,-0.66,0,0.00,0.00,0.00,1.00,0.71,0.71,-15234,1024.08,95.71,-5.68,74.35,0.94,9.41,-0.94,24.82,-41.64,111.43,0.31,-0.23,0.64,
